,T_004,T_005,T_010,T_011,T_018,T_019,T_025,T_026,T_031,T_032,T_038,T_039,T_042,T_043,T_045,T_046,T_048,T_049,T_051,T_052,T_053,T_054,T_056,T_057,T_059,T_060,T_061,T_062,T_063,T_064,T_066,T_067,T_069,T_070,T_071,T_072,T_074,T_075,T_077,T_078,T_080,T_081,T_082,T_083,T_084,T_085,T_087,T_088,T_090,T_091,T_093,T_094,T_096,T_097,T_098,T_099,T_101,T_102
hsa-miR-6891-5p,0,0,0,0,0,0,1.19026695,0,0,0,0,0,0,0,0,0,0,0,0,1.171536998,0,0,0,0,0,0,0,0,1.067448666,0,0,0,0,0,0,0.751127823,0.706146856,0,0,0,0,0,0,1.521272423,0,0,0,0,0,0,0,0,1.199645724,0,0,0,0,0
hsa-miR-6892-3p,0,4.03129159,1.798264598,0,3.527833186,0,1.309293644,2.024560473,2.278835746,0,1.815010931,1.757578196,0,1.468919337,0,1.628508854,1.722917712,0,2.071822994,2.236570632,1.861734921,0,0,0,1.489605333,0,2.103650907,1.344690188,1.423264888,2.814164339,2.66823721,1.402556183,0,0,1.635921626,2.731373903,1.861659893,2.247731471,0,0,1.656572902,2.3154941,2.32785291,2.535454038,2.570429971,0,1.35318577,1.930027875,0,0.911517684,1.848012818,0,2.079385922,1.843202277,0,1.196929238,0,1.911745457
hsa-miR-6892-5p,2.167568666,0,0,1.555062566,0,0,1.309293644,0,0,0,0,0,2.950375842,0.801228729,0,0,1.353721059,0,1.726519162,0,0,0,0,0,0,0,1.82316412,0,0.711632444,0,0,0,0,0,1.402218536,1.297402604,1.412293712,0,0,0,0,1.340549216,1.55190194,0,1.518890438,0,0.676592885,0.857790167,0,0,0,0,1.439574869,1.290241594,0,0,1.99110486,2.0588028
hsa-miR-6894-3p,1.324625296,1.493070959,0.899132299,0.777531283,0.881958297,0,0,0,1.139417873,0,0,0.79889918,1.311278152,0,2.11339216,0,0,0,0,0,0,2.077623295,0,0,0,0,0,0.672345094,0,0,0.533647442,0,0.59226808,0,1.168515447,1.707108689,1.669074387,3.371597206,0,2.076766193,1.656572902,1.462417326,0,1.521272423,1.518890438,0,1.35318577,0.857790167,0,0,1.848012818,0,1.439574869,1.013761253,0,0,1.99110486,0
hsa-miR-6894-5p,0,0,0,0,0,0.798669504,1.309293644,0,1.595185022,0,0,0,0,1.335381216,0,0,0.984524407,0,0,1.278040361,1.861734921,0,0,0,0,0,0,0,2.134897332,0,0,0,0,1.05188191,0.934812358,1.092549561,1.604879218,0,0,0,0,1.584285437,1.939877425,1.521272423,1.518890438,0,2.029778655,1.930027875,0,0,0,0,1.039692961,1.382401708,0,0,0,1.764688114
hsa-miR-6895-3p,0,1.343763863,0.899132299,1.166296924,3.233847088,1.597339008,1.666373729,0,2.278835746,1.232277194,0,0,0.655639076,1.602457459,0,0,2.215179915,1.997936051,1.381215329,2.236570632,2.637457805,0,0,1.531154225,0.8937632,0,0,1.120575156,1.067448666,1.29884508,3.468708373,0,0,1.753136517,0.701109268,0.955980866,1.476488881,1.123865735,3.712850721,0,2.560158122,2.43736221,0.77595097,2.02836323,1.635728164,0,0.676592885,2.358922958,2.089754574,1.823035368,0,0.545192024,1.919433159,2.027522505,0,0,1.837942948,0.882344057
hsa-miR-6895-5p,0,1.194456767,0,0,0,0,0,0,0,1.540346493,0,0,0,0.934766851,0,0,0,1.165462696,0,0,0,0,0,0,0,0,1.82316412,0,0,0,0,0,0,0,0,1.297402604,1.604879218,0,0,0,1.505975366,0,0,1.901590529,1.986241342,0,0,0,0,0,0,2.180768095,2.079385922,1.474561822,0,0,0,1.617630771
hsa-miR-7-1-3p,16.256765,20.45507214,20.68004288,20.99334464,17.05119373,22.36274612,28.09030001,19.32534997,22.33259031,17.55995002,26.9982876,19.33336015,11.14586429,20.4313326,19.67080395,20.35636067,51.8105969,21.97729656,40.74585222,21.40717605,13.65272275,17.86756034,13.41078108,13.39759947,14.89605333,15.86348142,15.14628653,16.36039728,17.43499488,18.18383112,18.14401303,18.58386943,28.42886784,17.18073787,25.23993365,15.91025298,15.79201151,13.48638883,7.711305345,8.99932017,24.24620339,13.16175594,27.74024718,18.12849637,18.81087388,13.29110486,12.85526482,15.65467054,13.93169716,7.292141474,21.09814634,16.35576071,16.55511099,25.80483188,8.198174921,24.23781706,15.62251506,23.6762322
hsa-miR-7-2-3p,0,0,0,0,0,0,1.428320339,0,0,0,0,0,0,0,0,0,1.599852161,0,0.172651916,0,0,0,0,0,0,0,0,0,0.355816222,0,0,0,0,0,0,1.297402604,1.091317869,0,0,0,1.957767976,1.218681105,1.357914197,1.774817827,1.986241342,0,2.706371541,0.643342625,0,0,0,0,0.799763816,0,0,0,0,0
hsa-miR-7-5p,71.77060695,216.9432104,217.1404502,201.7693679,120.8282866,170.9152739,218.7710653,169.8790288,259.1036244,161.7363817,280.1923125,140.1269162,159.3202955,269.079315,230.6848827,181.3751736,296.8341086,158.0034427,586.8438631,253.0519915,313.8574787,166.0021013,239.2045441,438.6756855,298.2189877,158.6348142,471.6385334,333.7072816,193.5640248,93.08389738,183.3078963,154.9824582,769.3562358,239.8290756,1137.199233,306.5284363,927.2992124,192.1810408,229.6255369,72.91756856,2992.824844,219.8500714,1328.234073,241.8823152,2022.81155,223.7851144,649.5291698,131.2418955,491.7889097,242.463704,215.1394922,383.8151847,325.7438023,130.4065611,222.0960115,164.5777702,718.6356926,235.4388059
